"(0,",0),-999,-0.0335272342676,-999,0.00573770491803
"(1,",0),-999,-0.0335272342676,-0.0334453104004,0.00573770491803
"(2,",0),-999,-0.0335272342676,-0.0334453104004,0.00573770491803
"(3,",0),-999,0.00573770491803,-0.0334453104004,0.00573770491803
"(4,",0),-999,0.00573770491803,0.00573770491803,0.05
"(5,",0),-999,0.00645161290323,0.005,0.05
"(6,",0),-999,0.1,0.005,0.1
"(7,",0),-999,0.1,0.1,0.1
"(8,",0),-999,0.1,0.1,0.1
"(9,",0),-999,0.1,0.1,0.1
"(10,",0),-999,0.1,0.1,0.1
"(11,",0),-999,0.1,0.1,0.1
"(12,",0),-999,0.1,0.1,0.1
"(13,",0),-999,0.1,0.1,0.1
"(14,",0),-999,0.1,0.1,0.1
"(15,",0),-999,0.1,0.1,0.1
"(16,",0),-999,0.1,0.1,0.1
"(17,",0),-999,0.1,0.1,0.1
"(18,",0),-999,0.1,0.1,0.1
"(19,",0),-999,0.1,0.1,-999
"(0,",1),0.00502379693284,-0.0335272342676,-999,0.00573770491803
"(1,",1),0.00502379693284,-0.0335272342676,-0.0334453104004,0.00573770491803
"(2,",1),0.00502379693284,-0.0335272342676,-0.0334453104004,0.00573770491803
"(3,",1),0.00573770491803,0.00573770491803,-0.0334453104004,0.00573770491803
"(4,",1),0.00645161290323,0.05,0.00573770491803,0.05
"(5,",1),0.00573770491803,0.00645161290323,0.005,-0.03
"(6,",1),0.1,0.1,0.005,0.1
"(7,",1),0.1,0.1,0.1,0.1
"(8,",1),0.1,0.1,0.1,0.1
"(9,",1),0.1,0.1,0.1,0.1
"(10,",1),0.1,0.1,0.1,0.1
"(11,",1),0.1,0.1,0.1,0.1
"(12,",1),0.1,0.1,0.1,0.1
"(13,",1),0.1,0.1,0.1,0.1
"(14,",1),0.1,0.1,0.1,0.1
"(15,",1),0.1,0.1,0.1,0.1
"(16,",1),0.1,0.1,0.1,0.1
"(17,",1),0.1,0.1,0.1,0.1
"(18,",1),0.1,0.1,0.1,0.1
"(19,",1),0.1,0.1,0.1,-999
"(0,",2),0.00502379693284,-0.0335272342676,-999,0.00573770491803
"(1,",2),0.00502379693284,-0.0335272342676,-0.0334453104004,0.00573770491803
"(2,",2),0.00502379693284,-0.0335272342676,-0.0334453104004,0.00573770491803
"(3,",2),0.00573770491803,0.00573770491803,-0.0334453104004,0.00573770491803
"(4,",2),0.05,0.05,0.00573770491803,0.05
"(5,",2),0.00573770491803,0.05,0.005,-0.03
"(6,",2),0.1,0.1,0.005,0.1
"(7,",2),0.1,0.1,0.1,0.1
"(8,",2),0.1,0.1,0.1,0.1
"(9,",2),0.1,0.1,0.1,0.1
"(10,",2),0.1,0.1,0.1,0.1
"(11,",2),0.1,0.1,0.1,0.1
"(12,",2),0.1,0.1,0.1,0.1
"(13,",2),0.1,0.1,0.1,0.1
"(14,",2),0.1,0.1,0.1,0.1
"(15,",2),0.1,0.1,0.1,0.1
"(16,",2),0.1,0.1,0.1,0.1
"(17,",2),0.1,0.1,0.1,0.1
"(18,",2),0.1,0.1,0.1,0.1
"(19,",2),0.1,0.1,0.1,-999
"(0,",3),0.00502379693284,-0.0335272342676,-999,0.00502379693284
"(1,",3),0.00502379693284,-0.03,-0.0334453104004,0.00502379693284
"(2,",3),0.00502379693284,-0.03,-0.0334453104004,0.00502379693284
